ability: [Die Fähigkeit, la capacidad]
cabinet: [Das Kabinett, el armario]
cable: [Das Kabel, el cable]
cake: [Der Kuchen, la torta]
call: [Der Anruf, la llamada]
camera: [Die Kamera, la cámara]
camp: [Das Camp, el campamento]
campaign: [Die Kampagne, la campaña]
cancer: [Der Krebs, el cáncer]
cap: [Die Kappe, la tapa]
capital: [Das Kapital, la capital]
captain: [Der Kapitän, el capitán]
car: [Das Auto, el coche]
card: [Die Karte, la tarjeta]
care: [Die Pflege, el cuidado]
career: [Die Karriere, la carrera]
carpet: [Der Teppich, la alfombra]
carriage: [Der Wagen, el carro]
case: [Der Fall, el caso]
cash: [Das Geld, el dinero en efectivo]
castle: [Die Burg, el castillo]
cat: [Die Katze, el gato]
cause: [Der Grund, la causa]
ceiling: [Die Decke, el techo]
cell: [Die Zelle, la célula]
century: [Das Jahrhundert, el siglo]
ceremony: [Die Zeremonie, la ceremonia]
chain: [Die Kette, la cadena de]
chair: [Der Stuhl, la silla]
challenge: [Die Herausforderung, el desafío]
chamber: [Die Kammer, la cámara de]
champagne: [Der Champagner, el champagne]
chance: [Die Chance, la oportunidad]
change: [Der Wechsel, el cambio]
channel: [Der Kanal, el canal]
chapel: [Die Kapelle, la capilla]
chapter: [Das Kapitel, el capítulo]
character: [Der Charakter, el carácter]
charge: [Die Ladung, la carga]
chart: [Das Diagramm, el gráfico]
check: [Die Prüfung, el cheque]
cheek: [Die Wange, la mejilla]
cheese: [Der Käse, el queso]
chest: [Die Brust, el pecho]
chicken: [Das Huhn, el pollo]
chief: [Der Chef, el jefe]
child: [Das Kind, el niño]
childhood: [Die Kindheit, la infancia]
chip: [Der Chip, el chip]
chocolate: [Die Schokolade, el chocolate]
choice: [Die Wahl, la elección]
church: [Die Kirche, la iglesia]
cigarette: [Die Zigarette, el cigarrillo]
circle: [Der Kreis, el círculo]
circumstance: [Der Umstand, la circunstancia]
citizen: [Der Bürger, el ciudadano]
city: [Die Stadt, la ciudad]
claim: [Der Anspruch, la reclamación]
class: [Die Klasse, la clase]
classroom: [Das Klassenzimmer, el aula]
clay: [Der Ton, la arcilla]
clerk: [Der Angestellte, el secretario]
client: [Der Klient, el cliente]
cliff: [Die Klippe, el acantilado]
clinic: [Die Klinik, la clínica]
clock: [Die Uhr, el reloj]
cloth: [Die Kleidung, el paño]
clothing: [Die Bekleidung, la ropa]
cloud: [Die Wolke, la nube]
club: [Der Club, el club]
clue: [Der Schlüssel, la clave]
coach: [Der Trainer, el entrenador]
coal: [Die Kohlen, el carbón]
coast: [Die Küste, la costa]
coat: [Der Mantel, la capa]
code: [Der Code, el código]
coffee: [Der Kaffee, el café]
coin: [Die Münze, la moneda]
cold: [Die Kälte, el frío]
colleague: [Der Kollege, el colega]
collection: [Die Sammlung, la colección]
college: [Das College, la universidad]
colonel: [Der Oberst, el coronel]
colony: [Die Kolonie, la colonia]
column: [Die Kolumne, la columna]
combination: [Die Kombination, la combinación]
comfort: [Der Komfort, la comodidad]
command: [Der Befehl, el comando]
commander: [Der Kommandant, el comandante]
comment: [Der Kommentar, el comentario]
committee: [Das Komitee, el comité]
communication: [Die Kommunikation, la comunicación]
community: [Die Gemeinde, la comunidad]
companion: [Der Begleiter, el compañero]
company: [Das Unternehmen, la empresa]
complaint: [Die Beschwerde, la queja]
computer: [Der Computer, el ordenador]
concentration: [Die Konzentration, la concentración]
concept: [Das Konzept, el concepto]
concern: [Die Sorge, la preocupación]
concert: [Das Konzert, el concierto]
conclusion: [Das Fazit, la conclusión]
condition: [Die Bedingung, la condición]
conference: [Die Konferenz, la conferencia]
confidence: [Das Vertrauen, la confianza]
confusion: [Die Verwirrung, la confusión]
connection: [Die Verbindung, la conexión]
consciousness: [Das Bewusstsein, la conciencia]
consequence: [Die Konsequenz, la consecuencia]
construction: [Die Konstruktion, la construcción]
contact: [Der Kontakt, el contacto]
content: [Der Inhalt, el contenido]
contract: [Der Vertrag, el contrato]
control: [Die Kontrolle, el control]
conversation: [Die Unterhaltung, la conversación]
copper: [Das Kupfer, el cobre]
copy: [Die Kopie, la copia]
core: [Der Kern, el núcleo]
corner: [Die Ecke, la esquina]
corridor: [Der Korridor, el corredor]
cost: [Die Kosten, el costo]
cottage: [Die Hütte, la casa de campo]
cotton: [Die Baumwolle, el algodón]
council: [Der Rat, el ayuntamiento]
count: [Die Zählung, el recuento]
counter: [Der Zähler, el contador]
country: [Das Land, el país]
county: [Die Kreis, el condado]
couple: [Das Ehepaar, la pareja]
course: [Der Kurs, el curso]
court: [Das Gericht, la corte]
cousin: [Der Cousin, el primo]
cover: [Die Titelseite, la tapa]
cow: [Die Kuh, la vaca]
crack: [Der Riss, la grieta]
craft: [Das Handwerk, la nave]
crash: [Der Absturz, el accidente]
cream: [Die Creme, la crema]
creation: [Die Kreation, la creación]
creature: [Die Kreatur, la criatura]
credit: [Der Kredit, el crédito]
crew: [Die Besatzung, la tripulación]
crime: [Das Verbrechen, el crimen]
crisis: [Die Krise, la crisis]
cross: [Das Kreuz, la cruz]
crowd: [Die Menge, la multitud]
crown: [Die Krone, la corona]
cry: [Das Weinen, el grito]
crystal: [Der Kristall, el cristal]
culture: [Die Kultur, la cultura]
cup: [Die Tasse, la copa]
curtain: [Die Gardine, la cortina]
curve: [Die Kurve, la curva]
customer: [Dem Kunden, el cliente]
cut: [Der Schnitt, el corte]
dad: [Der Vater, el papá]
daddy: [Der Papa, el papá]
damage: [Der Schaden, el daño]
dance: [Der Tanz, la danza]
danger: [Die Gefahr, el peligro]
dark: [Die Dunkelheit, la oscuridad]
darkness: [Dunkelheit, la oscuridad]
darling: [Der Liebling, el niño mimado]
data: [Die Daten, los datos]
date: [Das Datum, la fecha]
daughter: [Die Tochter, la hija]
day: [Der Tag, el día]
deal: [Der Deal, el acuerdo]
dealer: [Der Händler, el distribuidor]
death: [Der Tod, la muerte]
decade: [Das Jahrzehnt, la década]
decision: [Die Entscheidung, la decisión]
deck: [Das Deck, la cubierta]
degree: [Der Grad, el grado]
delight: [Die Freude, el deleite]
delivery: [Die Lieferung, la entrega]
demand: [Die Nachfrage, la demanda]
department: [Die Abteilung, el departamento]
depression: [Die Depression, la depresión]
depth: [Die Tiefe, la profundidad]
deputy: [Der Stellvertretende, el diputado]
description: [Die Beschreibung, la descripción]
desert: [Die Wüste, el desierto]
design: [Das Design, el diseño]
desire: [Das Verlangen, el deseo]
desk: [Der Schreibtisch, el escritorio]
detail: [Das Detail, el detalle]
detective: [Der Detektiv, el detective]
development: [Die Entwicklung, el desarrollo]
device: [Das Gerät, el dispositivo]
devil: [Der Teufel, el diablo]
diamond: [Der Diamant, el diamante]
diary: [Das Tagebuch, el diario]
difference: [Der Unterschied, la diferencia]
difficulty: [Die Schwierigkeit, la dificultad]
dinner: [Das Abendessen, la cena]
direction: [Die Richtung, la dirección]
director: [Der Direktor, el director]
disappointment: [Die Enttäuschung, la decepción]
disaster: [Das Unglück, el desastre]
discovery: [Der Fund, el descubrimiento]
discussion: [Die Diskussion, la discusión]
disease: [Die Krankheit, la enfermedad]
dish: [Das Gericht, el plato]
display: [Der Bildschirm, la pantalla]
distance: [Die Distanz, la distancia]
district: [Das Viertel, el distrito]
divorce: [Die Scheidung, el divorcio]
dock: [Das Dock, el muelle]
doctor: [Der Doktor, el médico]
document: [Das Dokument, el documento]
dog: [Der Hund, el perro]
door: [Die Tür, la puerta]
doorway: [Die Türöffnung, la puerta]
doubt: [Der Zweifel, la duda]
draft: [Der Entwurf, el proyecto]
drama: [Das Drama, el drama]
drawing: [Die Zeichnung, el dibujo]
dream: [Der Traum, el sueño]
dress: [Das Kleid, el vestido]
drink: [Das Getränk, la bebida]
drive: [Die Fahrt, la unidad]
driver: [Der Fahrer, el controlador]
drop: [Der Fall, la caída de]
drug: [Das Medikament, la droga]
duck: [Die Ente, el pato]
duke: [Der Herzog, el duque]
dust: [Der Staub, el polvo]
duty: [Die Pflicht, el deber]
eagle: [Der Adler, el águila]
ear: [Das Ohr, el oído]
earl: [Der Graf, el conde]
earth: [Die Erde, la tierra]
edge: [Die Ecke, el borde]
education: [Die Bildung, la educación]
effect: [Der Effekt, el efecto]
effort: [Der Aufwand, el esfuerzo]
egg: [Das Ei, el huevo]
element: [Das Element, el elemento]
emergency: [Der Notfall, la emergencia]
emotion: [Die Emotion, la emoción]
emperor: [Der Kaiser, el emperador]
empire: [Das Reich, el imperio]
employee: [Der Arbeitnehmer, el empleado]
end: [Das Ende, el fin]
enemy: [Der Feind, el enemigo]
energy: [Die Energie, la energía]
engine: [Der Motor, el motor]
engineer: [Der Ingenieur, el ingeniero]
english: [Das Englisch, el Inglés]
enthusiasm: [Die Begeisterung, el entusiasmo]
entrance: [Der Eingang, la entrada]
entry: [Der Eintritt, la entrada]
envelope: [Der Umschlag, la envoltura]
environment: [Die Umgebung, el medio ambiente]
equipment: [Die Ausrüstung, el equipo]
error: [Der Fehler, el error]
escape: [Die Flucht, el escape]
estate: [Das Anwesen, la finca]
evening: [Der Abend, la noche]
event: [Das Ereignis, el evento]
evidence: [Der Beweis, la evidencia]
example: [Das Beispiel, el ejemplo]
exchange: [Der Austausch, el intercambio]
excitement: [Die Aufregung, la emoción]
excuse: [Die Entschuldigung, la excusa]
executive: [Die Exekutive, el ejecutivo]
exercise: [Die Übung, el ejercicio]
existence: [Die Existenz, la existencia]
expense: [Der Aufwand, el gasto]
experience: [Das Erlebnis, la experiencia]
expert: [Der Experte, el experto]
explanation: [Die Erklärung, la explicación]
explosion: [Die Explosion, la explosión]
expression: [Der Ausdruck, la expresión]
eye: [Das Auge, el ojo]
fabric: [Das Gewebe, la tela]
face: [Das Gesicht, la cara]
facility: [Die Einrichtung, la instalación]
fact: [Die Tatsache, el hecho]
factory: [Die Fabrik, la fábrica]
failure: [Das Versagen, el fracaso]
faith: [Der Glaube, la fe]
fall: [Der Herbst, la caída]
family: [Die Familie, la familia]
fan: [Der Fan, el ventilador]
fantasy: [Die Fantasie, la fantasía]
farm: [Der Bauernhof, la granja]
farmer: [Der Bauer, el agricultor]
fashion: [Die Mode, la moda]
fat: [Das Fett, la grasa]
fate: [Das Schicksal, el destino]
father: [Der Vater, el padre]
fault: [Der Fehler, el fallo]
fear: [Die Angst, el miedo]
feature: [Die Eigenschaft, la característica]
feeling: [Das Gefühl, la sensación]
fellow: [Der Kerl, el becario]
female: [Das Weibchen, la hembra]
fence: [Der Zaun, la valla]
fiction: [Die Fiktion, la ficción]
field: [Das Feld, el campo]
fight: [Der Kampf, la lucha]
figure: [Die Figur, la figura]
file: [Die Datei, el archivo]
film: [Der Film, la película]
finger: [Der Finger, el dedo]
fire: [Das Feuer, el fuego]
firm: [Die Firma, la empresa]
fish: [Der Fisch, el pescado]
fishing: [Die Angel, la pesca]
flag: [Die Flagge, la bandera]
flame: [Die Flamme, la llama]
flesh: [Das Fleisch, la carne]
flight: [Der Flug, el vuelo]
floor: [Der Boden, el piso]
flow: [Die Strömung, el flujo]
flower: [Die Blume, la flor]
fluid: [Das Fluid, el fluido]
focus: [Der Fokus, el foco]
folk: [Die Volks, la gente]
food: [Das Essen, la comida]
fool: [Der Dummkopf, el tonto]
foot: [Der Fuß, el pie]
football: [Der Fußball, el fútbol]
force: [Die Kraft, la fuerza]
forest: [Der Wald, el bosque]
form: [Die Form, la forma]
fortune: [Das Glück, la fortuna]
foundation: [Die Grundlage, la fundación]
fragment: [Das Fragment, el fragmento]
frame: [Der Rahmen, la trama]
freedom: [Die Freiheit, la libertad]
french: [Die Franzosen, el francés]
friend: [Der Freund, el amigo]
friendship: [Die Freundschaft, la amistad]
front: [Die Front, el frente]
fruit: [Das Obst, el fruto]
fuel: [Die Kraftstoff, el combustible]
function: [Die Funktion, la función de]
funeral: [Das Begräbnis, el funeral]
furniture: [Die Möbel, los muebles]
future: [Die Zukunft, el futuro]
gallery: [Die Gallerie, la galería]
game: [Das Spiel, el juego]
gang: [Die Gruppe, la pandilla]
gap: [Die Lücke, la brecha]
garage: [Die Garage, el garaje]
garden: [Der Garten, el jardín]
gas: [Das Gas, el gas]
gate: [Die Gate, la puerta]
gaze: [Der Blick, la mirada]
gear: [Das Getriebe, el engranaje]
gene: [Das Gen, el gen]
general: [Die Allgemeine, el general]
generation: [Die Generation, la generación]
gentleman: [Der Gentleman, el caballero]
german: [Der Deutsche, el alemán]
gesture: [Die Geste, el gesto]
ghost: [Das Gespenst, el fantasma]
gift: [Das Geschenk, el regalo]
girl: [Das Mädchen, la chica]
glance: [Der Blick, la mirada]
glass: [Das Glas, el cristal]
glory: [Die Herrlichkeit, la gloria]
goal: [Das Ziel, el objetivo]
god: [Der Gott, el dios]
gold: [Das Gold, el oro]
golf: [Der Golf, el golf]
good: [Das Gute, el bien]
government: [Die Regierung, el gobierno]
governor: [Der Gouverneur, el gobernador]
grade: [Die Klasse, el grado]
grain: [Das Korn, el grano]
grant: [Der Zuschuss, la subvención]
grass: [Das Gras, la hierba]
grave: [Das Grab, la tumba]
green: [Das Grün, el verde]
grip: [Der Griff, la empuñadura]
ground: [Der Boden, el terreno]
group: [Die Gruppe, el grupo]
guard: [Der Wächter, la guardia]
guest: [Der Gast, el invitado]
guide: [Der Führer, la guía]
guilt: [Die Schuld, la culpa]
guitar: [Die Gitarre, la guitarra]
gun: [Die Waffe, la pistola]
guy: [Der Kerl, el chico]
habit: [Die Angewohnheit, el hábito]
hair: [Das Haar, el cabello]
half: [Die Hälfte, la media]
hall: [Die Halle, la sala]
hand: [Die Hand, la mano]
harm: [Der Schaden, el daño]
hat: [Der Hut, el sombrero]
head: [Der Kopf, la cabeza]
health: [Die Gesundheit, la salud]
hearing: [Die Anhörung, la audiencia]
heart: [Das Herz, el corazón]
heat: [Die Hitze, el calor]
heaven: [Der Himmel, el cielo]
heel: [Die Ferse, el talón]
height: [Die Höhe, la altura]
hell: [Die Hölle, el infierno]
help: [Die Hilfe, la ayuda]
hero: [Der Held, el héroe]
hill: [Der Hügel, la colina]
hint: [Der Hinweis, la indirecta]
hip: [Die Hüfte, la cadera]
history: [Die Geschichte, la historia]
hold: [Der Halt, la bodega]
hole: [Das Loch, el agujero]
holiday: [Der Urlaub, las vacaciones]
home: [Das Zuhause, el hogar]
hope: [Die Hoffnung, la esperanza]
horizon: [Der Horizont, el horizonte]
horror: [Der Horror, el horror]
horse: [Das Pferd, el caballo]
hospital: [Das Krankenhaus, el hospital]
host: [Der Gastgeber, el anfitrión]
hotel: [Das Hotel, el hotel]
hour: [Die Stunde, la hora]
house: [Das Haus, la casa]
household: [Der Haushalt, el hogar]
human: [Der Mensch, la humana]
hunting: [Das Jagd, la caza]
husband: [Der Ehemann, el marido]
ice: [Das Eis, el hielo]
idea: [Die Idee, la idea]
identity: [Die Identität, la identidad]
illness: [Die Krankheit, la enfermedad]
image: [Das Bild, la imagen]
imagination: [Die Phantasie, la imaginación]
impact: [Der Aufprall, el impacto]
impression: [Der Eindruck, la impresión de]
incident: [Der Vorfall, el incidente]
individual: [Der Einzelne, el individuo]
industry: [Die Branche, la industria]
infant: [Das Kleinkind, el bebé]
information: [Die Information, la información]
injury: [Die Verletzung, la lesión]
inn: [Das Gasthaus, la posada]
insect: [Das Insekt, el insecto]
inspector: [Der Inspektor, el inspector]
instinct: [Der Instinkt, el instinto]
instruction: [Die Anleitung, la instrucción]
instrument: [Das Instrument, el instrumento]
insurance: [Die Versicherung, el seguro]
intelligence: [Die Intelligenz, la inteligencia]
intention: [Die Absicht, la intención]
interest: [Die Interesse, el interés]
interior: [Der Innenraum, el interior]
interview: [Das Interview, la entrevista]
investigation: [Die Ermittlung, la investigación]
invitation: [Die Einladung, la invitación]
iron: [Das Bügeleisen, el hierro]
island: [Die Insel, la isla]
issue: [Das Thema, la cuestión]
item: [Der Gegenstand, el elemento]
jacket: [Die Jacke, la chaqueta]
jet: [Der Strahl, el chorro]
job: [Der Beruf, el trabajo]
joke: [Der Witz, la broma]
journal: [Das Tagebuch, la revista]
journey: [Die Reise, el viaje]
joy: [Der Spaß, la alegría]
judge: [Der Richter, el juez]
judgment: [Das Urteil, la sentencia]
juice: [Der Saft, el jugo]
jury: [Die Jury, el jurado]
justice: [Die Justiz, la justicia]
key: [Der Schlüssel, la tecla]
kid: [Das Kind, el niño]
killer: [Der Mörder, el asesino]
kind: [Die Art, el tipo]
king: [Der König, el rey]
kingdom: [Das Königreich, el reino]
kiss: [Der Kuss, el beso]
kit: [Das Kit, el kit]
kitchen: [Die Küche, la cocina]
knee: [Das Knie, la rodilla]
knife: [Das Messer, el cuchillo]
knowledge: [Das Wissen, el conocimiento]
lad: [Der Knabe, el muchacho]
lady: [Die Dame, la dama]
lake: [Der See, el lago]
lamp: [Die Lampe, la lámpara]
land: [Das Land, la tierra]
landing: [Die Landung, el aterrizaje]
landscape: [Die Landschaft, el paisaje]
lane: [Die Fahrspur, el carril]
language: [Die Sprache, el idioma]
laugh: [Das Lachen, la risa]
law: [Das Gesetz, la ley]
lawyer: [Der Anwalt, el abogado]
layer: [Die Schicht, la capa de]
lead: [Die Führung, el plomo]
leader: [Der Führer, el líder]
leaf: [Das Blatt, la hoja]
league: [Die Liga, la liga]
leather: [Das Leder, el cuero]
leave: [Der Urlaub, la licencia]
lecture: [Der Vortrag, la conferencia]
leg: [Das Bein, la pierna]
length: [Die Länge, la longitud]
lesson: [Der Unterricht, la lección]
letter: [Der Brief, la letra]
level: [Das Level, el nivel]
liberty: [Die Freiheit, la libertad]
library: [Die Bibliothek, la biblioteca]
lie: [Die Lüge, la mentira]
life: [Das Leben, la vida]
lifetime: [Die Lebensdauer, el tiempo de vida]
lift: [Der Lift, el ascensor]
light: [Das Licht, la luz]
limit: [Das Limit, el límite]
line: [Die Linie, la línea]
link: [Der Link, el enlace]
lion: [Der Löwe, el león]
lip: [Die Lippe, el labio]
list: [Die Liste, la lista]
literature: [Die Literatur, la literatura]
living: [Die Lebenden, los vivos]
load: [Die Ladung, la carga]
location: [Der Ort, la ubicación]
lock: [Das Schloss, la cerradura]
look: [Das Aussehen, la mirada]
lord: [Der Herr, el señor]
loss: [Der Verlust, la pérdida]
lot: [Das Ganze, el lote]
love: [Die Liebe, el amor]
lover: [Der Liebhaber, el amante]
luck: [Das Glück, la suerte]
lunch: [Das Mittagessen, el almuerzo]
lung: [Die Lunge, el pulmón]
machine: [Die Maschine, la máquina]
magazine: [Das Magazin, la revista]
mail: [Die Post, el correo]
male: [Der Mann, el macho]
man: [Der Mann, el hombre]
manager: [Der Geschäftsführer, el gestor]
manner: [Die Methode, la formaSS]
map: [Die Karte, el mapa]
mark: [Die Note, la marca]
market: [Der Markt, el mercado]
marriage: [Die Ehe, el matrimonio]
mass: [Die Masse, la masa]
master: [Der Meister, el maestro]
match: [Das Match, el partido]
mate: [Der Steuermann, el mate]
material: [Das Material, el material]
matter: [Der Grund, la materia]
mayor: [Der Bürgermeister, el alcalde]
meal: [Die Mahlzeit, la comida]
meaning: [Die Bedeutung, el significado]
measure: [Das Maß, la medida]
meat: [Das Fleisch, la carne]
medicine: [Die Medizin, el medicamento]
meeting: [Das Treffen, la reunión]
member: [Das Mitglied, el miembro]
memory: [Das Gedächtnis, la memoria]
menu: [Das Menü, el menú]
merchant: [Der Händler, el comerciante]
mess: [Die Unordnung, el lío]
message: [Die Nachricht, el mensaje]
metal: [Das Metall, el metal]
method: [Die Methode, el método]
middle: [Die Mitte, el centro]
midnight: [Die Mitternachts, la medianoche]
milk: [Die Milch, la leche]
mill: [Die Mühle, el molino]
mind: [Der Geist, la mente]
mine: [Die Mine, la mina]
minister: [Der Minister, el ministro]
minute: [Die Minute, el minuto]
mirror: [Der Spiegel, el espejo]
miss: [Der Fehl, la señorita]
missile: [Die Rakete, el misil]
mission: [Die Mission, la misión]
mistake: [Der Fehler, el error]
model: [Das Model, el modelo]
moment: [Der Moment, el momento]
money: [Das Geld, el dinero]
month: [Der Monat, el mes]
mood: [Die Stimmung, el estado de ánimo]
moon: [Der Mond, la luna]
morning: [Der Morgen, la mañana]
mother: [Die Mutter, la madre]
motion: [Die Bewegung, el movimiento]
motor: [Der Motor, el motor]
mountain: [Der Berg, la montaña]
mouse: [Die Maus, el ratón]
mouth: [Der Mund, la boca]
move: [Die Bewegung, el movimiento]
movement: [Die Bewegung, el movimiento]
movie: [Der Film, la película]
mud: [Der Schlamm, el barro]
murder: [Der Mord, el asesinato]
muscle: [Der Muskel, el músculo]
museum: [Das Museum, el museo]
music: [Die Musik, la música]
musician: [Der Musiker, el músico]
mystery: [Das Mysterium, el misterio]
nail: [Der Nagel, la uña]
name: [Der Name, el nombre]
nation: [Die Nation, la nación]
nature: [Die Natur, la naturaleza]
navy: [Die Marine, la marina]
neck: [Der Hals, el cuello]
need: [Das Bedürfnis, la necesidad]
needle: [Die Nadel, la aguja]
nerve: [Der Nerv, el nervio]
nest: [Das Nest, el nido]
net: [Das Internet, la red]
network: [Das Netzwerk, la red]
newspaper: [Die Zeitung, el periódico]
night: [Die Nacht, la noche]
nightmare: [Der Albtraum, la pesadilla]
noise: [Das Geräusch, el ruido]
nose: [Die Nase, la nariz]
note: [Die Notiz, la nota]
notice: [Die Notiz, la notificación]
notion: [Die Vorstellung, la noción]
novel: [Der Roman, la novela]
number: [Die Anzahl, el número]
nurse: [Die Krankenschwester, la enfermera]
oak: [Die Eiche, el roble]
object: [Das Objekt, el objeto]
observation: [Die Beobachtung, la observación]
ocean: [Der Ozean, el océano]
offer: [Das Angebot, la oferta]
office: [Das Büro, la oficina]
officer: [Der Offizier, el oficial]
official: [Das Offizielle, el funcionario]
oil: [Das Öl, el aceite]
opening: [Die Eröffnung, la apertura]
opera: [Die Oper, la ópera]
operation: [Die Operation, la operación]
operator: [Der Betreiber, el operador]
opinion: [Die Meinung, la opinión]
opportunity: [Die Gelegenheit, la oportunidad]
option: [Die Option, la opción]
order: [Die Bestellung, el orden]
organ: [Die Orgel, el órgano]
organization: [Die Organisation, la organización]
oxygen: [Die Sauerstoff, el oxígeno]
pace: [Die Geschwindigkeit, el ritmo]
pack: [Das Rudel, el paquete]
package: [Das Paket, el paquete]
page: [Die Seite, la página]
pain: [Der Schmerz, el dolor]
paint: [Die Farbe, la pintura]
painter: [Der Maler, el pintor]
painting: [Das Gemälde, la pintura]
pair: [Das Paar, el par]
palace: [Der Palast, el palacio]
palm: [Die Palme, la palma]
panel: [Die Platte, el panel]
panic: [Die Panik, el pánico]
paper: [Das Papier, el documento]
parent: [Das Elternteil, el padre]
park: [Der Park, el parque]
part: [Der Teil, la parte]
partner: [Der Partner, el socio]
party: [Die Party, el partido]
pass: [Der Pass, el pase]
passage: [Der Durchgang, el pasaje]
passenger: [Der Passagier, el pasajero]
passion: [Die Leidenschaft, la pasión]
past: [Die Vergangenheit, el pasado]
patch: [Der Patch, el parche]
