accent: [Der Akzent, el acento]
host: [Der Gastgeber, el anfitrión]
household: [Der Haushalt, el hogar]
husband: [Der Ehemann, el marido]
impact: [Der Aufprall, el impacto]
incident: [Der Vorfall, el incidente]
individual: [Der Einzelne, el individuo]
inspector: [Der Inspektor, el inspector]
instinct: [Der Instinkt, el instinto]
interior: [Der Innenraum, el interior]
item: [Der Gegenstand, el elemento]
jet: [Der Strahl, el chorro]
job: [Der Beruf, el trabajo]
judge: [Der Richter, el juez]
juice: [Der Saft, el jugo]
killer: [Der Mörder, el asesino]
king: [Der König, el rey]
kiss: [Der Kuss, el beso]
lad: [Der Knabe, el muchacho]
lake: [Der See, el lago]
lawyer: [Der Anwalt, el abogado]
leader: [Der Führer, el líder]
lift: [Der Lift, el ascensor]
link: [Der Link, el enlace]
lion: [Der Löwe, el león]
lord: [Der Herr, el señor]
lover: [Der Liebhaber, el amante]
male: [Der Mann, el macho]
man: [Der Mann, el hombre]
manager: [Der Geschäftsführer, el gestor]
market: [Der Markt, el mercado]
master: [Der Meister, el maestro]
mate: [Der Steuermann, el mate]
mayor: [Der Bürgermeister, el alcalde]
merchant: [Der Händler, el comerciante]
minister: [Der Minister, el ministro]
mirror: [Der Spiegel, el espejo]
mistake: [Der Fehler, el error]
moment: [Der Moment, el momento]
month: [Der Monat, el mes]
motor: [Der Motor, el motor]
mud: [Der Schlamm, el barro]
murder: [Der Mord, el asesinato]
muscle: [Der Muskel, el músculo]
musician: [Der Musiker, el músico]
name: [Der Name, el nombre]
neck: [Der Hals, el cuello]
nerve: [Der Nerv, el nervio]
ocean: [Der Ozean, el océano]
officer: [Der Offizier, el oficial]
operator: [Der Betreiber, el operador]
pain: [Der Schmerz, el dolor]
painter: [Der Maler, el pintor]
palace: [Der Palast, el palacio]
park: [Der Park, el parque]
partner: [Der Partner, el socio]
pass: [Der Pass, el pase]
passage: [Der Durchgang, el pasaje]
passenger: [Der Passagier, el pasajero]
patch: [Der Patch, el parche]
path: [Der Pfad, el camino]
patient: [Der Patient, el paciente]
pavement: [Der Bürgersteig, el pavimento]
peak: [Der Spitzer, el pico]
pilot: [Der Pilot, el piloto]
place: [Der Ort, el lugar]
plan: [Der Plan, el plan]
planet: [Der Planet, el planeta]
plastic: [Der Kunststoff, el plástico]
player: [Der Spieler, el jugador]
poet: [Der Poet, el poeta]
point: [Der Punkt, el punto]
pole: [Der Pol, el polo]
policeman: [Der Polizist, el policía]
pond: [Der Teich, el estanque]
port: [Der Hafen, el puerto]
president: [Der Präsident, el presidente]
price: [Der Preis, el precio]
pride: [Der Stolz, el orgullo]
priest: [Der Priester, el sacerdote]
prince: [Der Prinz, el príncipe]
prisoner: [Der Gefangene, el prisionero]
prize: [Der Preis, el premio]
process: [Der Prozess, el proceso de]
professor: [Der Professor, el profesor]
rabbit: [Der Hase, el conejo]
rank: [Der Rang, el rango]
reader: [Der Leser, el lector]
receiver: [Der Empfänger, el receptor]
record: [Der Datensatz, el registro]
reporter: [Der Reporter, el reportero]
resident: [Der Bewohner, el residente]
respect: [Der Respekt, el respeto]
rhythm: [Der Rhythmus, el ritmo]
ring: [Der Ring, el anillo]
rise: [Der Aufgang, el aumento]
river: [Der Fluss, el río]
satellite: [Der Satellit, el satélite]
schedule: [Der Stundenplan, el calendario]
scientist: [Der Wissenschaftler, el científico]
secretary: [Der Sekretär, el secretario]
sense: [Der Sinn, el sentido]
sergeant: [Der Wachtmeister, el sargento]
servant: [Der Diener, el siervo]
service: [Der Service, el servicio]
shock: [Der Schock, el choque]
shoe: [Der Schuh, el zapato]
shot: [Der Schuss, el disparo]
singer: [Der Sänger, el cantante]
site: [Der Standort, el sitio]
sky: [Der Himmel, el cielo]
sleep: [Der Schlaf, el sueño]
smell: [Der Geruch, el olor]
smoke: [Der Rauch, el humo]
soldier: [Der Soldat, el soldado]
son: [Der Sohn, el hijo]
sound: [Der Klang, el sonido]
south: [Der Süden, el sur]
space: [Der Raum, el espacio]
speaker: [Der Lautsprecher, el altavoz]
spell: [Der Zauber, el hechizo]
spirit: [Der Geist, el espíritu]
sport: [Der Sport, el deporte]
spot: [Der Platz, el punto]
stand: [Der Stand, el soporte]
standing: [Der Ständige, el pie]
start: [Der Anfang, el inicio]
state: [Der Staat, el estado]
steam: [Der Dampf, el vapor]
steel: [Der Stahl, el acero]
stick: [Der Stock, el palo]
stomach: [Der Bauch, el estómago]
stranger: [Der Fremde, el desconocido]
stroke: [Der Hub, el trazo]
student: [Der Schüler, el estudiante]
style: [Der Stil, el estilo]
success: [Der Erfolg, el éxito]
sugar: [Der Zucker, el azúcar]
suit: [Der Anzug, el traje]
summer: [Der Sommer, el verano]
switch: [Der Schalter, el interruptor]
tank: [Der Panzer, el tanque]
taste: [Der Geschmack, el sabor]
tea: [Der Tee, el té]
teacher: [Der Lehrer, el profesor]
teenager: [Der Teenager, el adolescente]
temple: [Der Tempel, el templo]
term: [Der Begriff, el término]
text: [Der Text, el texto]
thought: [Der Gedanke, el pensamiento]
tone: [Der Ton, el tono]
tooth: [Der Zahn, el diente]
tourist: [Der Tourist, el turista]
trade: [Der Handel, el comercio]
traffic: [Der Verkehr, el tráfico]
train: [Der Zug, el tren]
tree: [Der Baum, el árbol]
trick: [Der Trick, el truco]
truck: [Der Lkw, el camión]
tunnel: [Der Tunnel, el túnel]
twin: [Der Zwilling, el gemelo]
type: [Der Typ, el tipo de]
uncle: [Der Onkel, el tío]
value: [Der Wert, el valor]
visitor: [Der Besucher, el visitante]
waste: [Der Müll, los residuos]
way: [Der Weg, el camino]
wind: [Der Wind, el viento]
wine: [Der Wein, el vino]
wing: [Der Flügel, el ala]
winter: [Der Winter, el invierno]
wish: [Der Wunsch, el deseo]
witness: [Der Zeuge, el testigo]
worker: [Der Arbeiter, el trabajador]
writer: [Der Verfasser, el escritor]
yard: [Der Hof, el patio]
